customer_id,churn_date,churn_reason
1,2025-06-30,Price too high
7,2025-06-30,Better offer from competitor
11,2025-06-30,No longer need service
16,2025-06-30,Technical problems
26,2025-06-30,No longer need service
30,2025-06-30,Billing issues
35,2025-06-30,Price too high
38,2025-06-30,No longer need service
41,2025-06-30,Technical problems
43,2025-06-30,Service quality issues
47,2025-06-30,Billing issues
49,2025-06-30,Moving to different region
53,2025-06-30,No longer need service
55,2025-06-30,Poor customer service
59,2025-06-30,Service quality issues
61,2025-06-30,Poor customer service
66,2025-06-30,Moving to different region
68,2025-06-30,Technical problems
70,2025-06-30,Technical problems
74,2025-06-30,Service quality issues
76,2025-06-30,No longer need service
77,2025-06-30,Better offer from competitor
78,2025-06-30,Moving to different region
82,2025-06-30,No longer need service
85,2025-06-30,Billing issues
88,2025-06-30,No longer need service
94,2025-06-30,Billing issues
99,2025-06-30,No longer need service
101,2025-06-30,Price too high
111,2025-06-30,No longer need service
121,2025-06-30,Technical problems
125,2025-06-30,Billing issues
127,2025-06-30,Better offer from competitor
132,2025-06-30,Billing issues
135,2025-06-30,No longer need service
136,2025-06-30,Technical problems
148,2025-06-30,Better offer from competitor
149,2025-06-30,Service quality issues
150,2025-06-30,Service quality issues
165,2025-06-30,Service quality issues
172,2025-06-30,Technical problems
174,2025-06-30,Better offer from competitor
175,2025-06-30,Better offer from competitor
177,2025-06-30,Better offer from competitor
179,2025-06-30,Poor customer service
181,2025-06-30,Poor customer service
183,2025-06-30,Moving to different region
188,2025-06-30,Technical problems
194,2025-06-30,Poor customer service
199,2025-06-30,Service quality issues
207,2025-06-30,Poor customer service
211,2025-06-30,Moving to different region
220,2025-06-30,Better offer from competitor
226,2025-06-30,No longer need service
227,2025-06-30,Price too high
229,2025-06-30,Better offer from competitor
231,2025-06-30,Price too high
233,2025-06-30,No longer need service
234,2025-06-30,Better offer from competitor
238,2025-06-30,Moving to different region
239,2025-06-30,Billing issues
248,2025-06-30,Technical problems
251,2025-06-30,Billing issues
253,2025-06-30,Price too high
254,2025-06-30,Moving to different region
257,2025-06-30,Poor customer service
259,2025-06-30,Poor customer service
261,2025-06-30,Technical problems
262,2025-06-30,Better offer from competitor
267,2025-06-30,Price too high
268,2025-06-30,Billing issues
277,2025-06-30,Better offer from competitor
278,2025-06-30,Poor customer service
280,2025-06-30,No longer need service
285,2025-06-30,No longer need service
288,2025-06-30,Moving to different region
289,2025-06-30,Moving to different region
292,2025-06-30,Billing issues
299,2025-06-30,Technical problems
300,2025-06-30,Moving to different region
304,2025-06-30,No longer need service
307,2025-06-30,Service quality issues
319,2025-06-30,Technical problems
320,2025-06-30,Poor customer service
325,2025-06-30,Billing issues
328,2025-06-30,Billing issues
329,2025-06-30,Billing issues
335,2025-06-30,Service quality issues
337,2025-06-30,Billing issues
340,2025-06-30,No longer need service
341,2025-06-30,Technical problems
345,2025-06-30,Moving to different region
346,2025-06-30,Price too high
351,2025-06-30,Service quality issues
359,2025-06-30,Price too high
361,2025-06-30,Price too high
365,2025-06-30,No longer need service
370,2025-06-30,Better offer from competitor
372,2025-06-30,Moving to different region
376,2025-06-30,No longer need service
386,2025-06-30,Price too high
388,2025-06-30,Moving to different region
398,2025-06-30,Billing issues
399,2025-06-30,No longer need service
409,2025-06-30,Poor customer service
415,2025-06-30,Billing issues
419,2025-06-30,Technical problems
424,2025-06-30,Technical problems
426,2025-06-30,Better offer from competitor
428,2025-06-30,No longer need service
431,2025-06-30,Better offer from competitor
437,2025-06-30,Price too high
449,2025-06-30,Service quality issues
452,2025-06-30,Price too high
457,2025-06-30,Service quality issues
459,2025-06-30,Technical problems
463,2025-06-30,No longer need service
467,2025-06-30,Poor customer service
475,2025-06-30,Technical problems
479,2025-06-30,Moving to different region
486,2025-06-30,Poor customer service
497,2025-06-30,Poor customer service
500,2025-06-30,Better offer from competitor
513,2025-06-30,Price too high
517,2025-06-30,Price too high
521,2025-06-30,Price too high
522,2025-06-30,Moving to different region
524,2025-06-30,Price too high
530,2025-06-30,Billing issues
547,2025-06-30,No longer need service
555,2025-06-30,Price too high
557,2025-06-30,Price too high
558,2025-06-30,Technical problems
560,2025-06-30,Technical problems
561,2025-06-30,Moving to different region
562,2025-06-30,Poor customer service
564,2025-06-30,Billing issues
577,2025-06-30,No longer need service
581,2025-06-30,No longer need service
585,2025-06-30,Better offer from competitor
587,2025-06-30,Service quality issues
592,2025-06-30,Moving to different region
599,2025-06-30,No longer need service
604,2025-06-30,Technical problems
608,2025-06-30,Better offer from competitor
610,2025-06-30,Better offer from competitor
611,2025-06-30,Service quality issues
613,2025-06-30,Better offer from competitor
624,2025-06-30,Technical problems
630,2025-06-30,Billing issues
631,2025-06-30,Technical problems
635,2025-06-30,Billing issues
637,2025-06-30,Poor customer service
639,2025-06-30,Poor customer service
640,2025-06-30,Technical problems
646,2025-06-30,Billing issues
647,2025-06-30,Service quality issues
649,2025-06-30,Billing issues
650,2025-06-30,Technical problems
657,2025-06-30,No longer need service
663,2025-06-30,No longer need service
669,2025-06-30,Moving to different region
670,2025-06-30,Price too high
671,2025-06-30,Moving to different region
681,2025-06-30,Price too high
687,2025-06-30,Better offer from competitor
697,2025-06-30,Technical problems
701,2025-06-30,Better offer from competitor
707,2025-06-30,Moving to different region
712,2025-06-30,Poor customer service
715,2025-06-30,No longer need service
722,2025-06-30,Price too high
728,2025-06-30,Billing issues
733,2025-06-30,Billing issues
750,2025-06-30,Technical problems
758,2025-06-30,Moving to different region
768,2025-06-30,Service quality issues
770,2025-06-30,Poor customer service
772,2025-06-30,Technical problems
776,2025-06-30,Price too high
777,2025-06-30,Poor customer service
783,2025-06-30,Technical problems
788,2025-06-30,Service quality issues
790,2025-06-30,Price too high
792,2025-06-30,No longer need service
793,2025-06-30,Technical problems
795,2025-06-30,No longer need service
805,2025-06-30,Moving to different region
809,2025-06-30,Moving to different region
813,2025-06-30,Poor customer service
817,2025-06-30,Service quality issues
819,2025-06-30,Moving to different region
822,2025-06-30,Price too high
827,2025-06-30,Poor customer service
828,2025-06-30,Poor customer service
833,2025-06-30,Billing issues
838,2025-06-30,Poor customer service
841,2025-06-30,Price too high
848,2025-06-30,Price too high
856,2025-06-30,Poor customer service
