contract_id,customer_id,subscription_type,contract_length,start_date,end_date
1,1,Basic,Monthly,2023-06-11,2025-06-30
2,2,Standard,Monthly,2023-03-13,2025-07-30
3,3,Premium,Annual,2023-04-12,2026-03-27
4,4,Premium,Quarterly,2024-10-03,2025-09-28
5,5,Standard,Annual,2020-09-24,2025-08-29
6,6,Premium,Monthly,2022-02-16,2025-07-30
7,7,Basic,Quarterly,2022-06-16,2025-06-30
8,8,Standard,Monthly,2022-07-16,2025-07-30
9,9,Basic,Monthly,2023-11-08,2025-07-30
10,10,Basic,Annual,2024-11-02,2025-10-28
11,11,Standard,Annual,2022-01-17,2025-06-30
12,12,Basic,Quarterly,2024-06-05,2025-08-29
13,13,Premium,Quarterly,2025-05-01,2025-07-30
14,14,Premium,Quarterly,2021-09-19,2025-08-29
15,15,Premium,Quarterly,2023-10-09,2025-09-28
16,16,Basic,Monthly,2025-05-31,2025-06-30
17,17,Basic,Monthly,2021-01-22,2025-07-30
18,18,Basic,Annual,2024-10-03,2025-09-28
19,19,Premium,Annual,2022-03-18,2026-02-25
20,20,Premium,Quarterly,2022-04-17,2025-09-28
21,21,Premium,Monthly,2023-03-13,2025-07-30
22,22,Premium,Quarterly,2020-09-24,2025-08-29
23,23,Standard,Quarterly,2021-05-22,2025-07-30
24,24,Basic,Monthly,2021-01-22,2025-07-30
25,25,Basic,Annual,2020-08-25,2025-07-30
26,26,Premium,Annual,2020-09-24,2025-06-30
27,27,Basic,Quarterly,2020-09-24,2025-08-29
28,28,Premium,Annual,2020-07-26,2026-06-25
29,29,Premium,Annual,2022-02-16,2026-01-26
30,30,Basic,Quarterly,2021-11-18,2025-06-30
31,31,Basic,Annual,2023-08-10,2025-07-30
32,32,Basic,Annual,2023-05-12,2026-04-26
33,33,Standard,Annual,2025-05-31,2026-05-26
34,34,Premium,Monthly,2022-02-16,2025-07-30
35,35,Standard,Quarterly,2022-12-13,2025-06-30
36,36,Standard,Monthly,2023-01-12,2025-07-30
37,37,Basic,Quarterly,2021-11-18,2025-07-30
38,38,Standard,Monthly,2023-04-12,2025-06-30
39,39,Premium,Annual,2021-11-18,2025-10-28
40,40,Basic,Monthly,2021-04-22,2025-07-30
41,41,Basic,Quarterly,2023-03-13,2025-06-30
42,42,Premium,Quarterly,2021-10-19,2025-09-28
43,43,Premium,Monthly,2023-12-08,2025-06-30
44,44,Premium,Monthly,2025-05-01,2025-07-30
45,45,Premium,Monthly,2024-10-03,2025-07-30
46,46,Basic,Monthly,2024-05-06,2025-07-30
47,47,Basic,Monthly,2023-07-11,2025-06-30
48,48,Basic,Quarterly,2024-06-05,2025-08-29
49,49,Basic,Quarterly,2024-04-06,2025-06-30
50,50,Standard,Annual,2021-09-19,2025-08-29
51,51,Standard,Monthly,2021-08-20,2025-07-30
52,52,Standard,Monthly,2025-04-01,2025-07-30
53,53,Standard,Annual,2024-02-06,2025-06-30
54,54,Premium,Annual,2023-09-09,2025-08-29
55,55,Premium,Annual,2020-10-24,2025-06-30
56,56,Basic,Annual,2022-09-14,2025-08-29
57,57,Standard,Monthly,2023-07-11,2025-07-30
58,58,Premium,Annual,2023-07-11,2026-06-25
59,59,Premium,Quarterly,2023-02-11,2025-06-30
60,60,Standard,Quarterly,2022-04-17,2025-09-28
61,61,Standard,Annual,2020-10-24,2025-06-30
62,62,Basic,Quarterly,2020-10-24,2025-09-28
63,63,Premium,Quarterly,2024-06-05,2025-08-29
64,64,Standard,Annual,2021-01-22,2025-12-27
65,65,Basic,Quarterly,2022-10-14,2025-09-28
66,66,Standard,Annual,2022-08-15,2025-06-30
67,67,Basic,Monthly,2023-12-08,2025-07-30
68,68,Premium,Annual,2022-09-14,2025-06-30
69,69,Premium,Quarterly,2023-03-13,2025-08-29
70,70,Premium,Annual,2020-11-23,2025-06-30
71,71,Standard,Monthly,2020-10-24,2025-07-30
72,72,Basic,Annual,2022-09-14,2025-08-29
73,73,Basic,Annual,2025-01-31,2026-01-26
74,74,Standard,Annual,2022-06-16,2025-06-30
75,75,Standard,Annual,2020-12-23,2025-11-27
76,76,Premium,Annual,2021-07-21,2025-06-30
77,77,Basic,Annual,2020-08-25,2025-06-30
78,78,Basic,Monthly,2021-08-20,2025-06-30
79,79,Standard,Monthly,2022-04-17,2025-07-30
80,80,Premium,Monthly,2023-12-08,2025-07-30
81,81,Premium,Annual,2021-01-22,2025-12-27
82,82,Basic,Monthly,2025-01-01,2025-06-30
83,83,Premium,Monthly,2023-05-12,2025-07-30
84,84,Basic,Monthly,2022-01-17,2025-07-30
85,85,Basic,Quarterly,2020-08-25,2025-06-30
86,86,Basic,Monthly,2020-08-25,2025-07-30
87,87,Basic,Quarterly,2022-04-17,2025-09-28
88,88,Premium,Monthly,2023-06-11,2025-06-30
89,89,Standard,Monthly,2023-03-13,2025-07-30
90,90,Premium,Quarterly,2024-02-06,2025-07-30
91,91,Premium,Annual,2022-07-16,2026-06-25
92,92,Premium,Quarterly,2020-10-24,2025-09-28
93,93,Premium,Quarterly,2025-01-01,2025-09-28
94,94,Standard,Annual,2021-04-22,2025-06-30
95,95,Premium,Annual,2022-06-16,2026-05-26
96,96,Premium,Quarterly,2022-01-17,2025-09-28
97,97,Basic,Annual,2022-11-13,2025-10-28
98,98,Basic,Annual,2023-10-09,2025-09-28
99,99,Standard,Quarterly,2023-10-09,2025-06-30
100,100,Basic,Annual,2025-01-01,2025-12-27
101,101,Standard,Monthly,2021-10-19,2025-06-30
102,102,Standard,Annual,2021-08-20,2025-07-30
103,103,Standard,Quarterly,2024-03-07,2025-08-29
104,104,Basic,Monthly,2023-11-08,2025-07-30
105,105,Standard,Quarterly,2024-09-03,2025-08-29
106,106,Basic,Annual,2020-08-25,2025-07-30
107,107,Standard,Quarterly,2024-09-03,2025-08-29
108,108,Standard,Quarterly,2023-09-09,2025-08-29
109,109,Basic,Quarterly,2021-01-22,2025-09-28
110,110,Basic,Monthly,2024-12-02,2025-07-30
111,111,Premium,Monthly,2020-10-24,2025-06-30
112,112,Premium,Monthly,2024-11-02,2025-07-30
113,113,Standard,Monthly,2020-11-23,2025-07-30
114,114,Basic,Annual,2024-09-03,2025-08-29
115,115,Basic,Monthly,2021-12-18,2025-07-30
116,116,Basic,Quarterly,2021-12-18,2025-08-29
117,117,Standard,Monthly,2022-07-16,2025-07-30
118,118,Premium,Monthly,2023-03-13,2025-07-30
119,119,Basic,Quarterly,2024-06-05,2025-08-29
120,120,Basic,Quarterly,2025-04-01,2025-09-28
121,121,Basic,Monthly,2021-08-20,2025-06-30
122,122,Basic,Annual,2023-03-13,2026-02-25
123,123,Basic,Monthly,2024-06-05,2025-07-30
124,124,Basic,Quarterly,2021-05-22,2025-07-30
125,125,Basic,Annual,2022-08-15,2025-06-30
126,126,Premium,Annual,2020-09-24,2025-08-29
127,127,Standard,Annual,2023-08-10,2025-06-30
128,128,Standard,Monthly,2022-07-16,2025-07-30
129,129,Standard,Quarterly,2021-03-23,2025-08-29
130,130,Premium,Annual,2022-07-16,2026-06-25
131,131,Premium,Annual,2025-01-01,2025-12-27
132,132,Premium,Monthly,2022-10-14,2025-06-30
