customer_id,signup_date,region,gender,age
1,2023-06-11,Quebec,Female,22
2,2023-03-13,Saskatchewan,Female,41
3,2023-04-12,British Columbia,Male,47
4,2024-10-03,Quebec,Male,35
5,2020-09-24,Ontario,Female,53
6,2022-02-16,Ontario,Male,30
7,2022-06-16,Ontario,Female,47
8,2022-07-16,Alberta,Female,54
9,2023-11-08,British Columbia,Male,36
10,2024-11-02,British Columbia,Male,65
11,2022-01-17,Ontario,Female,46
12,2024-06-05,Nova Scotia,Male,56
13,2025-05-01,Alberta,Male,31
14,2021-09-19,Ontario,Male,42
15,2023-10-09,Ontario,Male,59
16,2025-05-31,Ontario,Female,35
17,2021-01-22,Ontario,Male,29
18,2024-10-03,Quebec,Male,45
19,2022-03-18,Quebec,Female,65
20,2022-04-17,Ontario,Male,62
21,2023-03-13,British Columbia,Male,48
22,2020-09-24,Ontario,Female,36
23,2021-05-22,Ontario,Male,55
24,2021-01-22,Quebec,Female,36
25,2020-08-25,Quebec,Male,64
26,2020-09-24,Alberta,Female,65
27,2020-09-24,Ontario,Female,53
28,2020-07-26,Quebec,Female,41
29,2022-02-16,Quebec,Female,25
30,2021-11-18,Ontario,Female,44
31,2023-08-10,British Columbia,Female,28
32,2023-05-12,Ontario,Male,34
33,2025-05-31,Ontario,Male,24
34,2022-02-16,Saskatchewan,Female,27
35,2022-12-13,Nova Scotia,Female,31
36,2023-01-12,Alberta,Male,46
37,2021-11-18,Ontario,Male,59
38,2023-04-12,Ontario,Female,56
39,2021-11-18,British Columbia,Female,27
40,2021-04-22,Quebec,Male,42
41,2023-03-13,Ontario,Female,29
42,2021-10-19,Quebec,Male,36
43,2023-12-08,Ontario,Male,61
44,2025-05-01,Manitoba,Male,57
45,2024-10-03,Ontario,Male,56
46,2024-05-06,British Columbia,Female,42
47,2023-07-11,Ontario,Female,36
48,2024-06-05,Quebec,Male,37
49,2024-04-06,Quebec,Female,51
50,2021-09-19,Ontario,Female,57
51,2021-08-20,Nova Scotia,Female,47
52,2025-04-01,Alberta,Male,29
53,2024-02-06,Saskatchewan,Female,45
54,2023-09-09,Manitoba,Female,18
55,2020-10-24,Quebec,Male,27
56,2022-09-14,Saskatchewan,Male,23
57,2023-07-11,Ontario,Male,60
58,2023-07-11,Ontario,Male,57
59,2023-02-11,Ontario,Female,28
60,2022-04-17,Ontario,Female,64
61,2020-10-24,Quebec,Male,30
62,2020-10-24,Ontario,Female,18
63,2024-06-05,Alberta,Male,24
64,2021-01-22,Quebec,Male,40
65,2022-10-14,Ontario,Female,26
66,2022-08-15,Quebec,Male,41
67,2023-12-08,Ontario,Female,64
68,2022-09-14,Alberta,Male,42
69,2023-03-13,Ontario,Male,24
70,2020-11-23,Nova Scotia,Female,52
71,2020-10-24,Alberta,Male,48
72,2022-09-14,Ontario,Female,28
73,2025-01-31,Ontario,Female,52
74,2022-06-16,Alberta,Female,52
75,2020-12-23,British Columbia,Female,56
76,2021-07-21,British Columbia,Male,64
77,2020-08-25,Alberta,Male,41
78,2021-08-20,Ontario,Female,48
79,2022-04-17,Quebec,Male,22
80,2023-12-08,Ontario,Female,42
81,2021-01-22,Alberta,Female,55
82,2025-01-01,British Columbia,Female,43
83,2023-05-12,Ontario,Male,34
84,2022-01-17,Ontario,Male,27
85,2020-08-25,Ontario,Female,19
86,2020-08-25,Ontario,Male,58
87,2022-04-17,British Columbia,Female,22
88,2023-06-11,British Columbia,Male,22
89,2023-03-13,Manitoba,Female,61
90,2024-02-06,Quebec,Male,28
91,2022-07-16,Ontario,Male,33
92,2020-10-24,British Columbia,Female,37
93,2025-01-01,Alberta,Female,65
94,2021-04-22,Quebec,Male,22
95,2022-06-16,Alberta,Male,42
96,2022-01-17,Quebec,Female,36
97,2022-11-13,Quebec,Male,20
98,2023-10-09,Quebec,Male,58
99,2023-10-09,Ontario,Male,65
100,2025-01-01,Ontario,Male,40
101,2021-10-19,Ontario,Female,52
102,2021-08-20,British Columbia,Male,35
103,2024-03-07,Ontario,Female,62
104,2023-11-08,Quebec,Male,41
105,2024-09-03,Manitoba,Male,36
106,2020-08-25,Ontario,Male,39
107,2024-09-03,Quebec,Male,62
108,2023-09-09,Alberta,Male,55
109,2021-01-22,Ontario,Female,44
110,2024-12-02,Ontario,Female,39
111,2020-10-24,Ontario,Male,30
112,2024-11-02,Ontario,Male,41
113,2020-11-23,Saskatchewan,Male,56
114,2024-09-03,Alberta,Male,24
115,2021-12-18,British Columbia,Female,28
116,2021-12-18,Manitoba,Female,46
117,2022-07-16,Alberta,Male,18
118,2023-03-13,Ontario,Male,34
119,2024-06-05,Manitoba,Male,39
120,2025-04-01,Quebec,Female,32
121,2021-08-20,Alberta,Female,35
122,2023-03-13,Manitoba,Male,40
123,2024-06-05,Ontario,Male,44
124,2021-05-22,Ontario,Female,52
125,2022-08-15,Ontario,Female,40
126,2020-09-24,Quebec,Male,41
127,2023-08-10,Alberta,Female,30
128,2022-07-16,Alberta,Female,64
129,2021-03-23,Ontario,Female,43
130,2022-07-16,Quebec,Female,31
131,2025-01-01,Quebec,Male,61
132,2022-10-14,Ontario,Female,56
133,2022-06-16,Ontario,Male,57
134,2020-08-25,Ontario,Female,41
135,2021-08-20,Saskatchewan,Male,46
136,2023-05-12,Ontario,Female,65
137,2023-04-12,Quebec,Male,25
138,2022-06-16,British Columbia,Male,43
139,2024-06-05,Quebec,Male,65
140,2020-09-24,Nova Scotia,Female,25
141,2020-11-23,Nova Scotia,Male,45
142,2020-08-25,Ontario,Male,20
143,2024-09-03,Quebec,Male,38
144,2024-03-07,Ontario,Female,43
145,2024-11-02,Ontario,Male,24
146,2025-05-01,Ontario,Female,56
147,2020-09-24,British Columbia,Male,61
148,2024-03-07,Quebec,Female,38
149,2023-07-11,Ontario,Male,39
150,2022-01-17,Ontario,Male,29
151,2023-11-08,Manitoba,Male,31
152,2023-09-09,Ontario,Male,25
153,2023-09-09,Ontario,Male,62
154,2024-06-05,Quebec,Male,64
155,2024-12-02,Nova Scotia,Female,57
156,2022-02-16,Ontario,Male,48
157,2025-04-01,British Columbia,Male,21
158,2024-03-07,Alberta,Female,26
159,2022-07-16,Ontario,Male,63
160,2024-05-06,British Columbia,Male,28
161,2021-04-22,Quebec,Male,36
162,2022-09-14,British Columbia,Male,31
163,2021-09-19,British Columbia,Female,64
164,2021-02-21,Quebec,Female,49
165,2021-01-22,Ontario,Female,58
166,2025-01-01,Alberta,Male,51
167,2024-09-03,Ontario,Female,62
168,2020-12-23,Ontario,Female,41
169,2020-08-25,Ontario,Female,22
170,2021-03-23,Quebec,Male,56
171,2023-11-08,British Columbia,Female,59
172,2025-01-01,Ontario,Female,51
173,2025-01-31,Quebec,Male,57
174,2022-07-16,Ontario,Female,56
175,2022-01-17,British Columbia,Male,23
176,2021-03-23,Ontario,Female,33
177,2022-12-13,British Columbia,Male,29
178,2022-03-18,Quebec,Male,49
179,2023-03-13,Saskatchewan,Female,25
180,2025-05-31,Ontario,Male,37
181,2022-03-18,Ontario,Male,45
182,2024-06-05,Ontario,Male,53
183,2020-07-26,Saskatchewan,Female,33
184,2025-01-31,Manitoba,Male,20
185,2023-05-12,Ontario,Male,62
186,2020-12-23,British Columbia,Male,37
187,2022-05-17,Alberta,Male,51
188,2022-02-16,Quebec,Female,21
189,2020-07-26,Quebec,Male,64
190,2021-05-22,Ontario,Male,41
191,2021-11-18,Ontario,Male,44
192,2025-03-02,Manitoba,Male,20
193,2023-03-13,Manitoba,Male,18
194,2020-09-24,British Columbia,Female,41
195,2021-09-19,Ontario,Male,50
196,2022-02-16,Ontario,Male,59
197,2023-02-11,British Columbia,Male,39
198,2024-02-06,Manitoba,Male,19
199,2020-11-23,Manitoba,Female,29
200,2023-11-08,Alberta,Female,45
201,2023-07-11,British Columbia,Male,36
202,2024-10-03,Ontario,Female,20
203,2021-11-18,Ontario,Female,30
204,2025-01-31,Manitoba,Male,33
205,2023-02-11,British Columbia,Male,27
206,2023-05-12,Ontario,Female,36
207,2022-08-15,Ontario,Male,33
208,2022-10-14,British Columbia,Male,18
209,2024-06-05,Ontario,Male,64
210,2022-07-16,Ontario,Male,48
211,2024-04-06,Quebec,Female,57
212,2023-09-09,British Columbia,Female,28
213,2020-11-23,British Columbia,Male,28
214,2021-10-19,Ontario,Female,22
215,2024-08-04,British Columbia,Male,56
216,2022-12-13,Ontario,Female,23
217,2021-11-18,Ontario,Male,59
218,2023-04-12,British Columbia,Male,46
219,2024-11-02,British Columbia,Male,56
220,2023-06-11,Alberta,Female,37
221,2021-09-19,British Columbia,Male,36
222,2022-07-16,Quebec,Male,59
223,2024-04-06,Ontario,Female,56
224,2022-11-13,Quebec,Female,51
225,2023-02-11,Ontario,Female,38
226,2020-07-26,Ontario,Male,20
227,2024-03-07,Nova Scotia,Female,60
228,2020-08-25,Quebec,Male,49
229,2020-12-23,Manitoba,Female,20
230,2023-02-11,British Columbia,Female,58
231,2021-05-22,Alberta,Male,27
232,2023-02-11,Quebec,Female,20
233,2021-09-19,Quebec,Male,63
234,2022-10-14,Quebec,Female,47
235,2024-01-07,Ontario,Male,63
236,2021-04-22,British Columbia,Male,62
237,2022-08-15,Ontario,Female,46
238,2022-10-14,Ontario,Female,49
239,2021-03-23,British Columbia,Female,46
240,2024-08-04,Ontario,Female,64
241,2024-06-05,Saskatchewan,Male,60
242,2021-11-18,Saskatchewan,Male,54
243,2021-03-23,Manitoba,Female,47
244,2020-12-23,Quebec,Male,37
245,2025-05-31,Ontario,Female,19
246,2022-10-14,Saskatchewan,Female,52
247,2025-01-31,Quebec,Male,62
248,2021-01-22,Nova Scotia,Male,48
249,2024-01-07,Nova Scotia,Male,60
250,2024-04-06,Alberta,Male,58
251,2022-12-13,Ontario,Male,43
252,2022-02-16,Quebec,Male,26
253,2021-10-19,Alberta,Female,41
254,2021-08-20,Ontario,Male,22
255,2024-05-06,Ontario,Male,45
256,2020-08-25,Quebec,Male,38
257,2021-06-21,Saskatchewan,Male,28
258,2023-09-09,British Columbia,Male,56
259,2024-02-06,Quebec,Female,42
260,2020-08-25,Ontario,Female,20
261,2021-03-23,British Columbia,Male,62
262,2022-06-16,Nova Scotia,Female,22
263,2021-09-19,Ontario,Female,30
264,2020-12-23,Quebec,Female,30
265,2023-10-09,Manitoba,Male,44
266,2022-05-17,British Columbia,Male,58
267,2022-02-16,British Columbia,Male,59
268,2020-12-23,British Columbia,Male,65
269,2022-01-17,Quebec,Female,30
270,2022-08-15,Ontario,Female,28
271,2022-04-17,Alberta,Male,58
272,2020-11-23,Alberta,Female,63
273,2022-08-15,Alberta,Female,62
274,2021-08-20,Manitoba,Female,32
275,2023-12-08,Quebec,Male,20
276,2023-03-13,Quebec,Female,28
277,2021-01-22,Alberta,Male,19
